time,vr,vl
0,0.0008799999999999999,0.0008849999999999999
0.005,0.00176,0.00177
0.01,0.00264,0.002655
0.015,0.00352,0.00354
0.02,0.004399999999999999,0.004425
0.025,0.005279999999999999,0.00531
0.03,0.006159999999999999,0.006195000000000001
0.035,0.007039999999999999,0.007080000000000001
0.04,0.007919999999999998,0.007965000000000002
0.045,0.008799999999999999,0.008850000000000002
0.05,0.009679999999999999,0.009735000000000002
0.055,0.01056,0.01062
0.06,0.01144,0.011505
0.065,0.01232,0.01239
0.07000000000000001,0.0132,0.013275
0.075,0.01408,0.01416
0.08,0.01496,0.015045
0.08500000000000001,0.01584,0.01593
0.09,0.01672,0.016815
0.095,0.0176,0.0177
0.1,0.01848,0.018585
0.105,0.01936,0.01947
0.11,0.02024,0.02035500000000001
0.115,0.02112,0.02124000000000001
0.12,0.022,0.02212500000000001
0.125,0.02287999999999999,0.02301000000000001
0.13,0.02375999999999999,0.02389500000000001
0.135,0.02463999999999999,0.02478000000000001
0.14,0.02551999999999999,0.02566500000000001
0.145,0.02639999999999999,0.02655000000000001
0.15,0.02727999999999999,0.02743500000000001
0.155,0.02815999999999999,0.02832000000000001
0.16,0.02903999999999999,0.02920500000000001
0.165,0.02991999999999998,0.03009000000000001
0.17,0.03079999999999998,0.03097500000000001
0.175,0.03167999999999999,0.03186000000000001
0.18,0.03255999999999998,0.032745
0.185,0.03343999999999998,0.03363
0.19,0.03431999999999998,0.034515
0.195,0.03519999999999998,0.03539999999999999
0.2,0.03607999999999998,0.03628499999999999
0.205,0.03695999999999998,0.03716999999999999
0.21,0.03783999999999998,0.03805499999999998
0.215,0.03871999999999998,0.03893999999999998
0.22,0.03959999999999998,0.03982499999999998
0.225,0.04047999999999997,0.04070999999999998
0.23,0.04135999999999997,0.04159499999999997
0.235,0.04223999999999997,0.04247999999999997
0.24,0.04311999999999997,0.04336499999999997
0.245,0.04399999999999997,0.04424999999999996
0.25,0.04487999999999997,0.04513499999999996
0.255,0.04575999999999997,0.04601999999999996
0.26,0.04663999999999997,0.04690499999999995
0.265,0.04751999999999997,0.04778999999999995
0.27,0.04839999999999996,0.04867499999999995
0.275,0.04927999999999996,0.04955999999999994
0.28,0.05015999999999996,0.05044499999999994
0.285,0.05103999999999996,0.05132999999999994
0.29,0.05191999999999996,0.05221499999999994
0.295,0.05279999999999996,0.05309999999999993
0.3,0.05367999999999996,0.05398499999999993
0.305,0.05455999999999996,0.05486999999999993
0.31,0.05543999999999995,0.05575499999999992
0.315,0.05631999999999995,0.05663999999999992
0.32,0.05719999999999995,0.05752499999999992
0.325,0.05807999999999995,0.05840999999999991
0.33,0.05895999999999995,0.05929499999999991
0.335,0.05983999999999995,0.06017999999999991
0.34,0.06071999999999995,0.0610649999999999
0.345,0.06159999999999995,0.0619499999999999
0.35,0.06247999999999995,0.0628349999999999
0.355,0.06335999999999994,0.0637199999999999
0.36,0.06423999999999995,0.0646049999999999
0.365,0.06511999999999996,0.0654899999999999
0.37,0.06599999999999996,0.06637499999999989
0.375,0.06687999999999997,0.06725999999999989
0.38,0.06775999999999997,0.06814499999999989
0.385,0.06863999999999998,0.06902999999999988
0.39,0.06951999999999998,0.06991499999999988
0.395,0.07039999999999999,0.07079999999999988
0.4,0.07128,0.07168499999999987
0.405,0.07216,0.07256999999999987
0.41,0.07304000000000001,0.07345499999999987
0.415,0.07392000000000001,0.07433999999999986
0.42,0.07480000000000002,0.07522499999999986
0.425,0.07568000000000003,0.07610999999999986
0.43,0.07656000000000003,0.07699499999999986
0.435,0.07744000000000004,0.07787999999999985
0.44,0.07832000000000004,0.07876499999999985
0.445,0.07920000000000005,0.07964999999999985
0.45,0.08008000000000005,0.08053499999999984
0.455,0.08096000000000006,0.08141999999999984
0.46,0.08184000000000007,0.08230499999999984
0.465,0.08272000000000007,0.08318999999999983
0.47,0.08360000000000008,0.08407499999999983
0.475,0.08448000000000008,0.08495999999999983
0.48,0.08536000000000009,0.08584499999999982
0.485,0.08624000000000009,0.08672999999999982
0.49,0.0871200000000001,0.08761499999999982
0.495,0.08800000000000011,0.08849999999999981
0.5,0.08888000000000011,0.08938499999999981
0.505,0.08976000000000012,0.09026999999999981
0.51,0.09064000000000012,0.09115499999999981
0.515,0.09152000000000013,0.0920399999999998
0.52,0.09240000000000013,0.0929249999999998
0.525,0.09328000000000014,0.0938099999999998
0.53,0.09416000000000015,0.09469499999999979
0.535,0.09504000000000015,0.09557999999999979
0.54,0.09592000000000016,0.09646499999999979
0.545,0.09680000000000016,0.09734999999999978
0.55,0.09768000000000017,0.09823499999999978
0.555,0.09856000000000018,0.09911999999999978
0.5600000000000001,0.09944000000000018,0.1000049999999998
0.5650000000000001,0.1003200000000002,0.1008899999999998
0.5700000000000001,0.1012000000000002,0.1017749999999998
0.5750000000000001,0.1020800000000002,0.1026599999999998
0.58,0.1029600000000002,0.1035449999999998
0.585,0.1038400000000002,0.1044299999999998
0.59,0.1047200000000002,0.1053149999999998
0.595,0.1056000000000002,0.1061999999999998
0.6,0.1064800000000002,0.1070849999999997
0.605,0.1073600000000002,0.1079699999999997
0.61,0.1082400000000002,0.1088549999999997
0.615,0.1091200000000002,0.1097399999999997
0.62,0.1100000000000003,0.1106249999999997
0.625,0.1108800000000003,0.1115099999999997
0.63,0.1117600000000003,0.1123949999999997
0.635,0.1126400000000003,0.1132799999999997
0.64,0.1135200000000003,0.1141649999999997
0.645,0.1144000000000003,0.1150499999999997
0.65,0.1152800000000003,0.1159349999999997
0.655,0.1161600000000003,0.1168199999999997
